Scientific name,Common name,group,Rank,701551,701552,701553,701554,701555,701556
Bos taurus,"Kau,Cattle",Mammals,Species,4906,4287,4183,4018,2721,4585
Synura petersenii,Alga,Heterokont algae,Species,1684,1437,1337,1942,1699,1482
Neochanna burrowsius,"Kowaro,Canterbury mudfish",Fish,Species,1418,770,35,716,0,0
Ovis aries,"Pirikahu; hipi,Sheep",Mammals,Species,575,546,526,397,319,419
Lumbricus rubellus,Red earthworm,Worms,Species,509,416,400,284,58,359
Tubifex tubifex,Sludge worm,Worms,Species,312,135,377,81,53,255
Potamothrix bavaricus,Aquatic oligochaete worm,Worms,Species,172,104,167,188,17,225
Aporrectodea caliginosa,Worm,Worms,Species,0,165,270,126,0,255
Cervus elaphus,"Tia,Red Deer",Mammals,Species,92,49,116,160,79,159
Aporrectodea trapezoides,Southern worm,Worms,Species,122,58,130,76,63,74
Anas platyrhynchos,"Rakiraki,Mallard duck",Birds,Species,107,0,61,130,20,82
Porphyrio melanotus,"Pūkeko,Pukeko",Birds,Species,49,61,11,0,9,104
Octolasion cyaneum,Worm,Worms,Species,0,0,88,79,6,37
Cyclotella cryptica,Brackish-water diatom,Diatoms,Species,0,57,60,0,0,86
Enchytraeus lacteus complex sp. CEB,,Worms,Species,24,0,11,24,0,59
Deroceras reticulatum,Grey field slug; Grey garden slug,Molluscs,Species,0,25,22,11,19,29
Henlea ventriculosa,Worm,Worms,Species,67,0,0,0,0,5
Nais elinguis,Sludgeworm,Worms,Species,36,0,0,9,25,0
Erinaceus europaeus,"Hetiheti; tuatete,European hedgehog",Mammals,Species,0,0,0,0,67,0
Lumbriculus variegatus,Blackworm,Worms,Species,18,19,0,20,0,9
Enchytraeus sp. CEP,,Worms,Species,0,7,0,37,0,18
Henlea perpusilla,Worm,Worms,Species,57,0,0,0,0,0
Eiseniella tetraedra,Squaretail worm,Worms,Species,0,0,12,13,0,28
Paraphysomonas sp.,Golden-brown alga,Heterokont algae,Species,20,0,0,8,12,10
Chrysophyceae sp.,,Heterokont algae,Species,27,0,12,11,0,0
Bimastos rubidus,Worm,Worms,Species,28,0,21,0,0,0
Vannella persistens,Amoeba,Amoebae,Species,12,0,18,0,0,10
Carduelis carduelis,Goldfinch,Birds,Species,6,20,0,13,0,0
Limnodrilus hoffmeisteri,Redworm,Worms,Species,0,39,0,0,0,0
Tubifex tubifex complex sp. CEA,,Worms,Species,15,0,0,0,0,24
[Candida] sake,,Fungi,Species,12,0,8,0,0,17
Wiseana copularis,,Insects,Species,16,0,6,0,6,5
Prostoma eilhardi,Freshwater ribbon worm,Ribbon worms,Species,0,11,0,0,0,21
Enchytraeus buchholzi complex sp. 2 MK-2019,Grindal worm,Worms,Species,11,0,20,0,0,0
Enchytraeus buchholzi complex sp. CEI,,Worms,Species,0,18,0,0,13,0
Henlea ventriculosa complex sp. L3,,Worms,Species,0,0,30,0,0,0
Anguilla australis,"Tuna; hao; aopori; hikumutu,Shortfin eel",Fish,Species,21,0,8,0,0,0
Enchytraeus buchholzi complex sp. CEC,,Worms,Species,0,0,23,0,6,0
Trichosurus vulpecula,"Paihamu; paihama,Common brushtail possum",Mammals,Species,0,0,0,5,22,0
Rattus norvegicus,"Pouhawaiki; pou o hawaiki; kaingarua; maungarua,Norway Rat",Mammals,Species,0,0,0,0,24,0
Acanthocyclops robustus,Copepod,Crustaceans,Species,12,0,8,0,0,0
Tadorna variegata,"Pūtangitangi,Paradise Shelduck",Birds,Species,0,0,0,19,0,0
Henlea cf. andreae PDW-2010,Worm,Worms,Species,11,0,8,0,0,0
Aporrectodea rosea,Rosy-tipped earthworm,Worms,Species,0,0,7,11,0,0
Gobiomorphus cotidianus,"Tīpokopoko; toitoi,Common bully",Fish,Species,0,0,7,10,0,0
Epiphanes senta,,Rotifers,Species,0,0,0,0,16,0
Porcellionides pruinosus,Woodlouse,Crustaceans,Species,0,0,0,15,0,0
Korotnevella stella,,Amoebae,Species,0,10,0,0,5,0
Diacyclops bicuspidatus,,Crustaceans,Species,0,0,0,15,0,0
Passer domesticus,"Tiu,House sparrow",Birds,Species,0,12,0,0,0,0
Fringilla coelebs,"Pahirini,Common chaffinch",Birds,Species,11,0,0,0,0,0
Pristina jenkinae,Worm,Worms,Species,0,5,0,6,0,0
Lepus europaeus,"Hea,Brown hare",Mammals,Species,0,0,0,0,0,10
Anguilla dieffenbachii,"Tuna; kūwharuwharu; reherehe; kirirua,Longfin eel",Fish,Species,10,0,0,0,0,0
Canis lupus familiaris,"Pero,Dog",Mammals,Subspecies,8,0,0,0,0,0
Henlea sp. CEA,,Worms,Species,0,8,0,0,0,0
Mus musculus,House mouse,Mammals,Species,0,0,0,0,7,0
Chamaedrilus aff. glandulosus B SM-2014,Worm,Worms,Species,0,7,0,0,0,0
Spumella sp.,Golden-brown alga,Heterokont algae,Species,0,7,0,0,0,0
Isotomurus palustris,Marsh springtail,Springtails,Species,0,0,0,0,5,0
Torularia atra,Red algae,Red algae,Species,0,0,0,0,0,5
Chaetogaster diastrophus,Oligochaete worm,Worms,Species,0,0,5,0,0,0
Daphnia carinata,Water flea,Crustaceans,Species,0,0,5,0,0,0
Dero obtusa,Worm,Worms,Species,0,0,0,0,5,0
Camptocladius stercorarius,,Insects,Species,0,0,0,0,5,0
Deroceras invadens,chestnut slug; tramp slug,Molluscs,Species,0,0,0,0,0,5
Psychoda sp. BIOUG22048-B12,Drain fly,Insects,Species,0,0,0,0,0,5
Pseudolycoriella cavatica,,Insects,Species,0,0,5,0,0,0
Phytophthora sp. XX-2020a,,Oomycetes,Species,0,0,0,0,5,0
,,,,10368,8273,7997,8424,5286,8382
